lambda,time,mu1,mu2,cov11,cov12,cov22
-1.0,0.0,0.0010650053017499436,-0.0024624412918761805,0.0096614729655844,4.951722361313381e-05,0.010170739529227264
-1.0,0.01001001001001001,-0.008771447130990328,-0.0021191387380776385,0.010204523449923451,-6.9678216719042635e-06,0.010392532794406033
-1.0,0.02002002002002002,-0.019357358117032264,-0.0020431402810177405,0.010837215644694538,-7.839759729632167e-05,0.010655950192555611
-1.0,0.03003003003003003,-0.029915469790737427,-0.0021486065213036903,0.011356847366598245,-6.616184445138732e-05,0.010766221248487941
-1.0,0.04004004004004004,-0.040111185644539804,-0.0019277127466343082,0.011925601744499711,-7.515120364579649e-05,0.010819060996664
-1.0,0.050050050050050046,-0.050491814525933335,-0.001972383800640012,0.012413419566734652,-7.965344316751727e-05,0.010957709459624855
-1.0,0.06006006006006006,-0.06084118582670572,-0.002001191675230733,0.013113248239453982,-7.233084197797555e-05,0.011102480657683019
-1.0,0.07007007007007007,-0.07117784540490493,-0.0017801577647739424,0.013800035593157548,-0.00019170204277498345,0.011151954667169004
-1.0,0.08008008008008008,-0.08225654649228487,-0.0010108561628718914,0.014474869405884301,-0.00014490225720961112,0.011265109111100928
-1.0,0.09009009009009009,-0.09289449951085393,-0.0010363610787949738,0.01506245851372511,-9.475892237068419e-05,0.011432242556436014
-1.0,0.10010010010010009,-0.10430681941634691,-0.0007104270204340079,0.01568748290994311,-0.0001501299340891561,0.011833303499641684
-1.0,0.11011011011011011,-0.11499810504331685,-0.00015919908034381632,0.01626289634040458,-0.00016766376282505152,0.011925123994812404
-1.0,0.12012012012012012,-0.1256611705738452,-1.6521011374707206e-05,0.016933699297371367,-0.00031031679960373965,0.012066944691384125
-1.0,0.13013013013013014,-0.13666465459499627,0.0003821335375902288,0.017665280126599202,-0.0003444329618515917,0.01226621740421089
-1.0,0.14014014014014015,-0.14737976759068944,0.0014128650132667743,0.01834005001220276,-0.00046059738949310057,0.012397331888778325
-1.0,0.15015015015015015,-0.1586719348492123,0.0018386357263579954,0.01909801722508151,-0.0005507898437425072,0.012549647031070305
-1.0,0.16016016016016016,-0.17002262805008223,0.0023295102583170664,0.019766960087943788,-0.0006250019100535563,0.012781350252103437
-1.0,0.17017017017017017,-0.18115962511269795,0.0026373951840191205,0.02056796430225569,-0.0007018740329170893,0.012988791005612732
-1.0,0.18018018018018017,-0.19243291169754392,0.0036199527707784624,0.021216051930151317,-0.0007871559349607732,0.01299987330214634
-1.0,0.19019019019019018,-0.20398186844677804,0.0038370504783645843,0.021960181168494068,-0.0008972391735909026,0.013169230320852167
-1.0,0.20020020020020018,-0.2156510856390383,0.004550440672739981,0.022569977760040247,-0.0007899119912509537,0.013210212656768538
-1.0,0.21021021021021022,-0.2272134261604383,0.004854854896717819,0.023368590874275084,-0.0008890701030400328,0.01333324081757281
